Time,Sample,Type
0:00.083,30,+
0:00.208,75,N
0:00.969,349,N
0:01.711,616,N
0:02.444,880,N
0:03.161,1138,N
0:03.889,1400,N
0:04.292,1545,+
0:04.628,1666,N
0:05.350,1926,N
0:06.108,2199,N
0:06.853,2467,N
0:07.572,2726,N
0:08.292,2985,N
0:09.008,3243,N
0:09.728,3502,N
0:10.453,3763,N
0:11.183,4026,N
0:11.944,4300,N
0:12.694,4570,N
0:13.447,4841,N
0:14.208,5115,N
0:14.964,5387,N
0:15.461,5566,+
0:15.728,5662,N
0:16.461,5926,N
0:17.203,6193,N
0:17.939,6458,N
0:18.700,6732,N
0:19.458,7005,N
0:20.172,7262,N
0:20.900,7524,N
0:21.600,7776,N
0:22.289,8024,N
0:22.981,8273,N
0:23.675,8523,N
0:24.394,8782,N
0:25.144,9052,N
0:25.914,9329,N
0:26.361,9490,+
0:26.661,9598,N
0:27.422,9872,N
0:28.211,10156,N
0:28.992,10437,N
0:29.769,10717,N
0:30.528,10990,N
0:30.967,11148,+
0:31.275,11259,N
0:32.033,11532,N
0:32.792,11805,N
0:33.553,12079,N
0:34.328,12358,N
0:35.119,12643,N
0:35.897,12923,N
0:36.436,13117,+
0:36.689,13208,N
0:37.494,13498,N
0:38.281,13781,N
0:39.044,14056,N
0:39.811,14332,N
0:40.583,14610,N
0:41.322,14876,N
0:42.092,15153,N
0:42.600,15336,+
0:42.872,15434,N
0:43.633,15708,N
0:44.397,15983,N
0:45.192,16269,N
0:46.028,16570,N
0:46.853,16867,N
0:47.675,17163,N
0:48.475,17451,N
0:49.244,17728,N
0:50.019,18007,N
0:50.772,18278,N
0:51.556,18560,N
0:52.361,18850,N
0:53.150,19134,N
0:53.925,19413,N
0:54.694,19690,N
0:55.497,19979,N
0:56.306,20270,N
0:57.111,20560,N
0:57.872,20834,N
0:58.642,21111,N
0:59.431,21395,N
1:00.247,21689,N
1:01.103,21997,N
1:01.947,22301,N
1:02.764,22595,N
1:03.597,22895,N
1:04.444,23200,N
1:05.258,23493,N
1:06.050,23778,N
1:06.828,24058,N
1:07.633,24348,N
1:08.469,24649,N
1:09.294,24946,N
1:10.122,25244,N
1:10.953,25543,N
1:11.739,25826,N
1:12.467,26088,N
1:13.203,26353,N
1:13.950,26622,N
1:14.678,26884,N
1:15.442,27159,N
1:16.242,27447,N
1:17.056,27740,N
1:17.869,28033,N
1:18.694,28330,N
1:19.533,28632,N
1:20.339,28922,N
1:21.142,29211,N
1:21.931,29495,N
1:22.733,29784,N
1:23.561,30082,N
1:24.394,30382,N
1:25.194,30670,N
1:25.975,30951,N
1:26.725,31221,N
1:27.489,31496,N
1:28.303,31789,N
1:29.111,32080,N
1:29.933,32376,N
1:30.753,32671,N
1:31.611,32980,N
1:32.469,33289,N
1:33.286,33583,N
1:34.081,33869,N
1:34.875,34155,N
1:35.664,34439,N
1:36.442,34719,N
1:37.247,35009,N
1:38.081,35309,N
1:38.944,35620,N
1:39.853,35947,N
1:40.722,36260,N
1:41.597,36575,N
1:42.472,36890,N
1:43.289,37184,N
1:44.100,37476,N
1:44.897,37763,N
1:45.711,38056,N
1:46.542,38355,N
1:47.406,38666,N
1:48.269,38977,N
1:49.075,39267,N
1:49.867,39552,N
1:50.656,39836,N
1:51.456,40124,N
1:52.225,40401,N
1:53.006,40682,N
1:53.794,40966,N
1:54.561,41242,N
1:55.100,41436,+
1:55.367,41532,N
1:56.192,41829,N
1:57.050,42138,N
1:57.519,42307,+
1:57.883,42438,N
1:58.736,42745,N
1:59.619,43063,N
