Time,Sample,Type
0:00.075,27,+
0:00.444,160,N
0:01.203,433,N
0:02.017,726,N
0:02.947,1061,N
0:03.794,1366,N
0:04.586,1651,N
0:05.375,1935,N
0:06.175,2223,N
0:06.942,2499,N
0:07.758,2793,N
0:08.594,3094,N
0:09.450,3402,N
0:10.261,3694,N
0:11.072,3986,N
0:11.875,4275,N
0:12.617,4542,N
0:13.389,4820,N
0:13.906,5006,|
0:14.183,5106,N
0:15.117,5442,N
0:15.578,5608,|
0:16.064,5783,N
0:16.800,6048,|
0:16.903,6085,N
0:17.200,6192,+
0:17.497,6299,V
0:18.431,6635,N
0:18.953,6823,V
0:19.992,7197,N
0:20.597,7415,V
0:21.736,7825,N
0:22.294,8026,V
0:23.317,8394,N
0:23.839,8582,V
0:24.808,8931,N
0:25.361,9130,V
0:26.400,9504,N
0:26.972,9710,V
0:28.050,10098,N
0:28.628,10306,V
0:29.600,10656,N
0:30.122,10844,V
0:31.108,11199,N
0:31.644,11392,V
0:32.711,11776,N
0:33.311,11992,V
0:33.883,12198,+
0:34.456,12404,N
0:35.314,12713,N
0:36.144,13012,N
0:36.908,13287,N
0:37.706,13574,N
0:38.600,13896,N
0:39.547,14237,N
0:40.467,14568,N
0:41.381,14897,N
0:42.194,15190,N
0:42.958,15465,N
0:43.764,15755,N
0:43.900,15804,|
0:44.031,15851,|
0:44.731,16103,N
0:44.881,16157,|
0:45.303,16309,|
0:45.567,16404,|
0:45.772,16478,N
0:46.731,16823,N
0:47.214,16997,|
0:47.433,17076,|
0:47.536,17113,N
0:48.317,17394,N
0:49.111,17680,N
0:49.989,17996,N
0:51.006,18362,N
0:51.917,18690,V
0:53.125,19125,N
0:53.911,19408,N
0:54.706,19694,N
0:55.286,19903,V
0:55.992,20157,V
0:57.636,20749,N
0:58.672,21122,N
0:59.550,21438,N
0:59.878,21556,~
1:00.303,21709,N
1:01.106,21998,N
1:01.964,22307,N
1:02.853,22627,N
1:03.342,22803,~
1:03.500,22860,V
1:04.678,23284,N
1:05.561,23602,N
1:06.367,23892,N
1:06.878,24076,V
1:07.978,24472,N
1:08.550,24678,V
1:09.750,25110,N
1:10.614,25421,N
1:11.483,25734,N
1:12.281,26021,N
1:13.064,26303,N
1:13.847,26585,N
1:14.686,26887,N
1:15.622,27224,N
1:16.544,27556,N
1:17.472,27890,N
1:18.247,28169,N
1:19.031,28451,N
1:19.822,28736,N
1:20.653,29035,N
1:21.536,29353,N
1:22.383,29658,N
1:22.975,29871,V
1:24.017,30246,N
1:24.814,30533,N
1:25.633,30828,N
1:26.464,31127,N
1:27.311,31432,N
1:28.153,31735,N
1:28.722,31940,V
1:29.800,32328,N
1:30.308,32511,V
1:31.361,32890,N
1:32.169,33181,N
1:33.000,33480,N
1:33.278,33580,+
1:33.556,33680,V
1:34.300,33948,|
1:34.769,34117,N
1:35.372,34334,V
1:36.219,34639,|
1:36.447,34721,N
1:36.967,34908,V
1:38.031,35291,N
1:38.611,35500,V
1:39.825,35937,N
1:40.511,36184,V
1:41.661,36598,N
1:41.969,36709,|
1:42.236,36805,V
1:43.286,37183,N
1:43.933,37416,V
1:45.225,37881,N
1:45.956,38144,V
1:47.194,38590,N
1:47.781,38801,V
1:48.806,39170,N
1:49.364,39371,V
1:50.661,39838,N
1:51.414,40109,V
1:51.956,40304,|
1:52.092,40353,|
1:52.689,40568,N
1:53.353,40807,V
1:53.922,41012,+
1:54.494,41218,N
1:55.456,41564,N
1:56.661,41998,N
1:57.803,42409,N
1:58.783,42762,N
1:59.678,43084,N
2:00.525,43389,N
2:01.397,43703,N
2:02.433,44076,N
2:03.522,44468,N
2:04.464,44807,N
2:05.314,45113,N
2:06.156,45416,N
