Time,Sample,Type
0:00.267,96,+
0:00.567,204,N
0:01.333,480,N
0:02.108,759,N
0:02.872,1034,N
0:03.628,1306,N
0:04.372,1574,N
0:05.153,1855,N
0:05.903,2125,N
0:06.619,2383,N
0:07.350,2646,N
0:08.078,2908,N
0:08.819,3175,N
0:09.567,3444,N
0:10.306,3710,N
0:11.019,3967,N
0:11.772,4238,N
0:12.539,4514,N
0:13.275,4779,N
0:13.989,5036,N
0:14.722,5300,N
0:15.467,5568,N
0:16.228,5842,N
0:16.964,6107,N
0:17.697,6371,N
0:18.456,6644,N
0:19.219,6919,N
0:19.956,7184,N
0:20.675,7443,N
0:21.408,7707,N
0:22.156,7976,N
0:22.914,8249,N
0:23.583,8490,V
0:24.378,8776,N
0:25.128,9046,N
0:25.892,9321,N
0:26.628,9586,N
0:27.364,9851,N
0:28.106,10118,N
0:28.856,10388,N
0:29.631,10667,N
0:30.392,10941,N
0:31.136,11209,N
0:31.881,11477,N
0:32.667,11760,N
0:33.431,12035,N
0:34.189,12308,N
0:34.953,12583,N
0:35.700,12852,N
0:36.472,13130,N
0:37.228,13402,N
0:37.967,13668,N
0:38.703,13933,N
0:39.483,14214,N
0:40.225,14481,N
0:40.950,14742,N
0:41.692,15009,N
0:42.433,15276,N
0:43.189,15548,N
0:43.953,15823,N
0:44.714,16097,N
0:45.475,16371,N
0:46.289,16664,N
0:47.061,16942,N
0:47.808,17211,N
0:48.581,17489,N
0:49.347,17765,N
0:50.125,18045,N
0:50.878,18316,N
0:51.619,18583,N
0:52.361,18850,N
0:53.122,19124,N
0:53.858,19389,N
0:54.561,19642,N
0:55.292,19905,N
0:56.025,20169,N
0:56.772,20438,N
0:57.519,20707,N
0:58.256,20972,N
0:58.981,21233,N
0:59.744,21508,N
1:00.492,21777,N
1:01.211,22036,N
1:01.808,22251,V
1:02.697,22571,N
1:03.467,22848,N
1:04.022,23048,A
1:04.833,23340,N
1:05.636,23629,N
1:06.453,23923,N
1:07.239,24206,N
1:08.000,24480,N
1:08.769,24757,N
1:09.531,25031,N
1:10.314,25313,N
1:11.061,25582,N
1:11.800,25848,N
1:12.561,26122,N
1:13.069,26305,V
1:14.081,26669,N
1:14.814,26933,N
1:15.564,27203,N
1:16.281,27461,N
1:17.036,27733,N
1:17.783,28002,N
1:18.525,28269,N
1:19.278,28540,N
1:20.067,28824,N
1:20.819,29095,N
1:21.558,29361,N
1:22.317,29634,N
1:23.064,29903,N
1:23.833,30180,N
1:24.603,30457,N
1:25.356,30728,N
1:26.097,30995,N
1:26.858,31269,N
1:27.594,31534,N
1:28.286,31783,N
1:29.022,32048,N
1:29.756,32312,N
1:30.494,32578,N
1:31.244,32848,N
1:31.978,33112,N
1:32.697,33371,N
1:33.456,33644,N
1:34.194,33910,N
1:34.917,34170,N
1:35.642,34431,N
1:36.383,34698,N
1:37.139,34970,N
1:37.881,35237,N
1:38.608,35499,N
1:39.328,35758,N
1:40.053,36019,N
1:40.811,36292,N
1:41.550,36558,N
1:42.275,36819,N
1:43.031,37091,N
1:43.767,37356,N
1:44.522,37628,N
1:45.258,37893,N
1:45.975,38151,N
1:46.703,38413,N
1:47.453,38683,N
1:48.178,38944,N
1:48.903,39205,N
1:49.617,39462,N
1:50.350,39726,N
1:51.089,39992,N
1:51.836,40261,N
1:52.556,40520,N
1:53.275,40779,N
1:54.042,41055,N
1:54.808,41331,N
1:55.561,41602,N
1:56.297,41867,N
1:57.053,42139,N
1:57.808,42411,N
1:58.569,42685,N
1:59.003,42841,V
1:59.428,42994,V
2:00.597,43415,e
2:00.881,43517,+
2:01.167,43620,V
2:02.347,44045,N
2:03.125,44325,N
2:03.850,44586,V
2:04.664,44879,N
2:05.453,45163,N
2:06.178,45424,V
2:06.925,45693,N
2:07.681,45965,N
2:08.378,46216,V
2:09.164,46499,N
2:09.897,46763,N
2:10.542,46995,V
2:11.375,47295,N
2:12.142,47571,N
2:12.667,47760,V
2:13.586,48091,N
2:14.344,48364,N
2:14.892,48561,V
2:15.842,48903,N
2:16.575,49167,N
2:17.122,49364,V
2:17.581,49529,+
2:18.039,49694,N
2:18.731,49943,V
2:19.347,50165,V
2:20.250,50490,N
2:20.981,50753,N
2:21.756,51032,N
2:22.481,51293,F
2:23.183,51546,N
2:23.906,51806,N
2:24.628,52066,N
2:25.367,52332,F
2:26.106,52598,N
2:26.806,52850,N
2:27.511,53104,N
2:28.258,53373,F
2:29.000,53640,N
2:29.700,53892,N
2:30.406,54146,N
2:31.100,54396,F
2:31.878,54676,N
2:32.631,54947,N
2:33.364,55211,N
2:34.044,55456,F
2:34.869,55753,N
2:35.633,56028,N
2:36.372,56294,N
2:37.086,56551,F
2:37.292,56625,~
2:37.831,56819,N
2:38.572,57086,N
2:39.319,57355,N
2:40.014,57605,N
2:40.714,57857,N
2:41.447,58121,N
2:42.183,58386,N
2:42.453,58483,~
2:42.886,58639,N
2:43.586,58891,N
2:44.058,59061,V
2:44.992,59397,N
2:45.722,59660,N
2:46.431,59915,N
2:47.136,60169,N
2:47.867,60432,N
2:48.622,60704,N
2:49.342,60963,N
2:50.047,61217,N
2:50.769,61477,N
2:51.481,61733,N
2:52.208,61995,N
2:52.744,62188,A
2:53.528,62470,N
2:54.294,62746,N
2:54.958,62985,A
2:55.808,63291,N
2:56.542,63555,N
2:57.264,63815,N
2:58.031,64091,N
2:58.783,64362,N
2:59.553,64639,N
3:00.292,64905,N
3:01.011,65164,N
3:01.753,65431,N
3:02.506,65702,N
3:03.219,65959,N
3:03.919,66211,N
3:04.653,66475,N
3:05.386,66739,N
3:06.000,66960,A
3:06.783,67242,N
3:07.550,67518,N
3:08.167,67740,V
3:09.061,68062,N
3:09.808,68331,N
3:10.544,68596,N
3:11.300,68868,N
3:12.044,69136,N
3:12.800,69408,N
3:13.542,69675,N
3:14.286,69943,N
3:15.011,70204,N
3:15.772,70478,N
3:16.519,70747,N
3:17.256,71012,N
3:18.003,71281,N
3:18.728,71542,N
3:19.478,71812,N
3:20.217,72078,N
3:20.947,72341,N
3:21.667,72600,N
3:22.433,72876,N
3:23.181,73145,N
3:23.925,73413,N
3:24.653,73675,N
3:25.383,73938,N
3:26.136,74209,N
3:26.892,74481,N
3:27.608,74739,N
3:28.328,74998,N
3:29.100,75276,N
3:29.869,75553,N
3:30.611,75820,N
3:31.344,76084,N
3:32.086,76351,N
3:32.828,76618,N
3:33.583,76890,N
3:34.322,77156,N
3:35.050,77418,N
3:35.797,77687,N
3:36.564,77963,N
3:37.286,78223,N
3:37.989,78476,N
3:38.711,78736,N
3:39.411,78988,N
3:40.136,79249,N
3:40.864,79511,N
3:41.597,79775,N
3:42.325,80037,N
3:43.097,80315,N
3:43.850,80586,N
3:44.578,80848,N
3:45.322,81116,N
3:45.928,81334,A
3:46.767,81636,e
3:47.586,81931,N
3:48.339,82202,N
3:49.075,82467,N
3:49.839,82742,N
3:50.578,83008,N
3:51.286,83263,N
3:51.989,83516,N
3:52.708,83775,N
3:53.419,84031,N
3:54.169,84301,N
3:54.883,84558,N
3:55.594,84814,N
3:56.336,85081,N
3:57.078,85348,N
3:57.811,85612,N
3:58.522,85868,N
3:59.267,86136,N
4:00.008,86403,N
4:00.775,86679,N
4:01.503,86941,N
4:02.233,87204,N
4:02.975,87471,N
4:03.725,87741,N
4:04.456,88004,N
4:05.167,88260,N
4:05.903,88525,N
4:06.622,88784,N
4:07.378,89056,N
4:08.092,89313,N
4:08.800,89568,N
4:09.519,89827,N
4:10.281,90101,N
4:11.000,90360,N
4:11.694,90610,N
4:12.408,90867,N
4:13.122,91124,N
4:13.869,91393,N
4:14.603,91657,N
4:15.322,91916,N
4:16.031,92171,N
4:16.797,92447,N
4:17.531,92711,N
4:18.231,92963,N
4:18.972,93230,N
4:19.708,93495,N
4:20.456,93764,N
4:21.208,94035,N
4:21.947,94301,N
4:22.667,94560,N
4:23.417,94830,N
4:24.133,95088,N
4:24.844,95344,N
4:25.553,95599,N
4:26.278,95860,N
4:26.994,96118,N
4:27.728,96382,N
4:28.428,96634,N
4:29.133,96888,N
4:29.858,97149,N
4:30.594,97414,N
4:31.322,97676,N
4:32.036,97933,N
4:32.769,98197,N
4:33.500,98460,N
4:34.244,98728,N
4:34.961,98986,N
4:35.678,99244,N
4:36.400,99504,N
4:37.150,99774,N
4:37.878,100036,N
4:38.592,100293,N
4:39.169,100501,A
4:40.000,100800,N
4:40.678,101044,V
4:41.464,101327,N
4:42.183,101586,N
4:42.886,101839,N
4:43.628,102106,N
4:44.350,102366,N
4:45.067,102624,N
4:45.800,102888,N
4:46.528,103150,N
4:47.258,103413,N
4:48.000,103680,N
4:48.714,103937,N
4:49.419,104191,N
4:50.156,104456,N
4:50.917,104730,N
4:51.644,104992,N
4:52.356,105248,N
4:53.089,105512,N
4:53.800,105768,N
4:54.542,106035,N
4:55.108,106239,A
4:55.900,106524,N
4:56.650,106794,N
4:57.433,107076,N
4:58.194,107350,N
4:58.914,107609,N
4:59.642,107871,N
5:00.364,108131,N
5:01.094,108394,N
5:01.825,108657,N
5:02.528,108910,N
5:03.228,109162,N
5:03.958,109425,N
5:04.697,109691,N
5:05.422,109952,N
5:06.128,110206,N
5:06.847,110465,N
5:07.575,110727,N
5:08.294,110986,N
5:09.022,111248,N
5:09.550,111438,V
5:10.478,111772,N
5:11.258,112053,N
5:12.000,112320,N
5:12.714,112577,N
5:13.442,112839,N
5:14.161,113098,N
5:14.897,113363,N
5:15.633,113628,N
5:16.353,113887,N
5:17.069,114145,N
5:17.806,114410,N
5:18.531,114671,N
5:19.244,114928,N
5:19.958,115185,N
5:20.669,115441,N
5:21.403,115705,N
5:22.156,115976,N
5:22.881,116237,N
5:23.600,116496,N
5:24.347,116765,N
5:25.100,117036,N
5:25.831,117299,N
5:26.533,117552,N
5:27.258,117813,N
5:27.961,118066,N
5:28.703,118333,N
5:29.417,118590,N
5:30.136,118849,N
5:30.861,119110,N
5:31.617,119382,N
5:32.342,119643,N
5:33.050,119898,N
5:33.792,120165,N
5:34.525,120429,N
5:35.275,120699,N
5:36.028,120970,N
5:36.761,121234,N
5:37.486,121495,N
5:38.258,121773,N
5:38.983,122034,N
5:39.692,122289,N
5:40.419,122551,N
5:41.147,122813,N
5:41.897,123083,N
5:42.633,123348,N
5:43.356,123608,N
5:44.056,123860,N
5:44.792,124125,N
5:45.517,124386,N
5:46.219,124639,N
5:46.922,124892,N
5:47.644,125152,N
5:48.386,125419,N
5:49.122,125684,N
5:49.847,125945,N
5:50.378,126136,A
5:51.192,126429,N
5:51.978,126712,N
5:52.731,126983,N
5:53.478,127252,N
5:54.233,127524,N
5:55.000,127800,N
5:55.764,128075,N
5:56.497,128339,N
5:57.225,128601,N
5:57.994,128878,N
5:58.733,129144,N
5:59.472,129410,N
6:00.203,129673,N
6:00.928,129934,N
6:01.664,130199,N
6:02.411,130468,N
6:03.114,130721,N
6:03.825,130977,N
6:04.553,131239,N
6:05.308,131511,N
6:06.050,131778,N
6:06.767,132036,N
6:07.514,132305,N
6:08.228,132562,N
6:08.964,132827,N
6:09.506,133022,A
6:10.292,133305,e
6:11.136,133609,N
6:11.931,133895,N
6:12.683,134166,N
6:13.406,134426,N
6:14.100,134676,A
6:14.881,134957,N
6:15.639,135230,N
6:16.372,135494,N
6:17.117,135762,N
6:17.856,136028,N
6:18.636,136309,N
6:19.392,136581,N
6:20.117,136842,N
6:20.881,137117,N
6:21.642,137391,N
6:22.436,137677,N
6:23.211,137956,N
6:23.972,138230,N
6:24.700,138492,N
6:25.458,138765,N
6:26.183,139026,N
6:26.889,139280,N
6:27.603,139537,N
6:28.319,139795,N
6:29.056,140060,N
6:29.783,140322,N
6:30.494,140578,N
6:31.186,140827,N
6:31.897,141083,N
6:32.628,141346,N
6:33.339,141602,N
6:34.036,141853,N
6:34.750,142110,N
6:35.442,142359,N
6:36.161,142618,N
6:36.864,142871,N
6:37.561,143122,N
6:38.247,143369,N
6:38.967,143628,N
6:39.667,143880,N
6:40.367,144132,N
6:41.053,144379,N
6:41.750,144630,N
6:42.453,144883,N
6:43.158,145137,N
6:43.856,145388,N
6:44.539,145634,N
6:45.242,145887,N
6:45.983,146154,N
6:46.686,146407,N
6:47.392,146661,N
6:48.089,146912,N
6:48.789,147164,N
6:49.492,147417,N
6:50.214,147677,N
6:50.883,147918,N
6:51.558,148161,N
6:52.264,148415,N
6:52.992,148677,N
6:53.694,148930,N
6:54.381,149177,N
6:55.081,149429,N
6:55.781,149681,N
6:56.492,149937,N
6:57.222,150200,N
6:57.608,150339,~
6:57.922,150452,N
6:58.614,150701,N
6:59.350,150966,N
7:00.069,151225,N
7:00.783,151482,N
7:01.467,151728,N
7:02.186,151987,N
7:02.883,152238,N
7:03.589,152492,N
7:04.281,152741,N
7:04.969,152989,N
7:05.672,153242,N
7:06.414,153509,N
7:07.131,153767,N
7:07.817,154014,N
7:08.522,154268,N
7:09.142,154491,V
7:09.956,154784,N
7:10.675,155043,N
7:11.325,155277,N
7:12.078,155548,N
7:12.803,155809,N
7:13.503,156061,N
7:14.211,156316,N
7:14.883,156558,N
7:15.581,156809,N
7:16.267,157056,N
7:16.936,157297,A
7:17.644,157552,N
7:18.325,157797,N
7:19.008,158043,N
7:19.736,158305,N
7:20.433,158556,N
7:21.117,158802,N
7:21.803,159049,N
7:22.492,159297,N
7:23.189,159548,N
7:23.900,159804,N
7:24.572,160046,N
7:25.231,160283,N
7:25.947,160541,N
7:26.658,160797,N
7:27.353,161047,N
7:28.022,161288,N
7:28.714,161537,N
7:29.383,161778,N
7:30.081,162029,N
7:30.772,162278,N
7:31.458,162525,N
7:32.119,162763,N
7:32.664,162959,A
7:33.486,163255,N
7:33.775,163359,~
7:34.181,163505,N
7:34.783,163722,A
7:35.553,163999,N
7:36.231,164243,N
7:36.922,164492,N
7:37.603,164737,N
7:38.283,164982,N
7:38.947,165221,N
7:39.639,165470,N
7:40.306,165710,N
7:40.978,165952,N
7:41.644,166192,N
7:42.333,166440,N
7:43.006,166682,N
7:43.706,166934,N
7:44.256,167132,A
7:45.061,167422,N
7:45.747,167669,N
7:46.456,167924,N
7:47.139,168170,N
7:47.819,168415,N
7:48.483,168654,N
7:49.064,168863,A
7:49.836,169141,N
7:50.528,169390,N
7:51.075,169587,A
7:51.850,169866,N
7:52.539,170114,N
7:53.244,170368,N
7:53.911,170608,N
7:54.594,170854,N
7:55.264,171095,N
7:55.861,171310,A
7:56.603,171577,N
7:57.308,171831,N
7:57.983,172074,N
7:58.661,172318,N
7:59.297,172547,A
8:00.044,172816,N
8:00.756,173072,N
8:01.444,173320,N
8:02.133,173568,N
8:02.825,173817,N
8:03.503,174061,N
8:04.200,174312,N
8:04.886,174559,N
8:05.478,174772,A
8:06.142,175011,A
8:06.931,175295,N
8:07.633,175548,N
8:08.311,175792,N
8:08.986,176035,N
8:09.700,176292,N
8:10.389,176540,N
8:11.092,176793,N
8:11.786,177043,N
8:12.461,177286,N
8:13.153,177535,N
8:13.861,177790,N
8:14.547,178037,N
8:15.222,178280,N
8:15.897,178523,N
8:16.597,178775,N
8:17.283,179022,N
8:17.989,179276,N
8:18.683,179526,N
8:19.378,179776,N
8:20.075,180027,N
8:20.808,180291,N
8:21.506,180542,N
8:22.186,180787,N
8:22.892,181041,N
8:23.594,181294,N
8:24.314,181553,N
8:25.047,181817,N
8:25.756,182072,N
8:26.456,182324,N
8:27.178,182584,N
8:27.897,182843,N
8:28.614,183101,N
8:29.292,183345,N
8:29.989,183596,N
8:30.681,183845,N
8:31.389,184100,N
8:32.086,184351,N
8:32.689,184568,A
8:33.372,184814,e
8:34.203,185113,N
8:34.933,185376,N
8:35.639,185630,N
8:36.342,185883,N
8:37.039,186134,N
8:37.758,186393,N
8:38.469,186649,N
8:39.147,186893,N
8:39.831,187139,N
8:40.528,187390,N
8:41.242,187647,N
8:41.942,187899,N
8:42.614,188141,N
8:43.306,188390,N
8:43.986,188635,N
8:44.694,188890,N
8:45.406,189146,N
8:46.092,189393,N
8:46.764,189635,N
8:47.481,189893,N
8:48.178,190144,N
8:48.864,190391,N
8:49.553,190639,N
8:50.111,190840,A
8:50.814,191093,e
8:51.603,191377,N
8:52.311,191632,N
8:53.006,191882,N
8:53.681,192125,N
8:54.414,192389,N
8:55.108,192639,N
8:55.783,192882,N
8:56.475,193131,N
8:57.181,193385,N
8:57.894,193642,N
8:58.611,193900,N
8:59.314,194153,N
8:59.983,194394,N
9:00.697,194651,N
9:01.406,194906,N
9:02.089,195152,N
9:02.756,195392,N
9:03.419,195631,N
9:04.081,195869,N
9:04.633,196068,A
9:05.442,196359,N
9:06.128,196606,N
9:06.772,196838,A
9:07.506,197102,N
9:08.189,197348,N
9:08.881,197597,N
9:09.556,197840,N
9:10.244,198088,N
9:10.914,198329,N
9:11.608,198579,N
9:12.281,198821,N
9:12.956,199064,N
9:13.611,199300,N
9:14.314,199553,N
9:14.992,199797,N
9:15.667,200040,N
9:16.333,200280,N
9:16.944,200500,A
9:17.692,200769,N
9:18.408,201027,N
9:19.092,201273,N
9:19.778,201520,N
9:20.461,201766,N
9:21.178,202024,N
9:21.858,202269,N
9:22.536,202513,N
9:23.217,202758,N
9:23.656,202916,V
9:24.586,203251,N
9:25.283,203502,N
9:25.964,203747,N
9:26.628,203986,N
9:27.286,204223,N
9:27.989,204476,N
9:28.653,204715,N
9:29.239,204926,A
9:29.958,205185,N
9:30.647,205433,N
9:31.258,205653,A
9:31.972,205910,N
9:32.647,206153,N
9:33.319,206395,N
9:33.906,206606,A
9:34.650,206874,N
9:35.333,207120,N
9:35.981,207353,F
9:36.631,207587,N
9:37.192,207789,V
9:37.803,208009,N
9:38.272,208178,+
9:38.478,208252,V
9:39.014,208445,V
9:39.722,208700,V
9:40.228,208882,V
9:40.928,209134,V
9:41.475,209331,V
9:42.183,209586,V
9:42.708,209775,V
9:43.375,210015,V
9:43.894,210202,V
9:44.536,210433,V
9:45.078,210628,V
9:45.744,210868,V
9:46.275,211059,V
9:46.900,211284,V
9:47.408,211467,V
9:48.075,211707,V
9:48.614,211901,V
9:49.250,212130,V
9:49.783,212322,V
9:50.381,212537,V
9:50.883,212718,V
9:51.483,212934,V
9:52.014,213125,V
9:52.631,213347,V
9:53.156,213536,V
9:53.733,213744,V
9:54.256,213932,V
9:54.844,214144,V
9:55.394,214342,V
9:55.961,214546,V
9:56.500,214740,V
9:57.056,214940,V
9:57.569,215125,V
